lga_name, lga_code, lw_excse_2_asr
"Copper Coast (DC)",41560,71.7
"Elliston (DC)",41750,null
"Gawler (T)",42030,71.9
"Goyder (DC)",42110,78.1
"Cleve (DC)",41190,79.8
"Flinders Ranges (DC)",41830,69.6
"Franklin Harbour (DC)",41960,79.8
"Grant (DC)",42250,75.3
"Holdfast Bay (C)",42600,59.3
"Kangaroo Island (DC)",42750,73.3
"Karoonda East Murray (DC)",43080,80.3
"Light (RegC)",43650,72.4
"Lower Eyre Peninsula (DC)",43710,null
"Loxton Waikerie (DC)",43790,78.3
"Mallala (DC)",43920,73.7
"Marion (C)",44060,65.8
"Mid Murray (DC)",44210,76.1
"Mitcham (C)",44340,61.0
"Mount Barker (DC)",44550,68.0
"Bassendean (T)",50350,62.1
"Bayswater (C)",50420,62.2
"Belmont (C)",50490,62.5
"Kimba (DC)",43220,79.8
"Kingston (DC)",43360,78.7
"Mount Gambier (C)",44620,73.3
"Mount Remarkable (DC)",44830,76.4
"Murray Bridge (RC)",45040,73.7
"Orroroo/Carrieton (DC)",45400,null
"Beverley (S)",50560,68.5
"Boddington (S)",50630,74.2
"Boyup Brook (S)",50770,71.5
"Naracoorte and Lucindale (DC)",45090,75.7
"Northern Areas (DC)",45120,75.0
"Norwood Payneham St Peters (C)",45290,63.9
"Onkaparinga (C)",45340,69.1
"The Coorong (DC)",47800,80.8
"Tumby Bay (DC)",47910,null
"Bridgetown-Greenbushes (S)",50840,71.5
"Brookton (S)",50910,null
"Peterborough (DC)",45540,76.4
"Playford (C)",45680,73.4
